Timestamp,Score,Which building do you currently live in?,What is your current class year?,How long have you lived in on-campus housing?,Do you have a Resident Assistant (RA) assigned to your community?,My residence hall feels like a safe environment.,"I feel comfortable walking in and around my hall, even at night.",My hall provides a welcoming and inclusive community.,"Physical facilities (cleanliness, maintenance, common spaces) meet my needs.","Amenities (lounges, study areas, kitchens) are adequate and usable.",Community events and programs contribute to my sense of belonging.,I feel a strong sense of belonging in my residence hall.,I have developed meaningful friendships within my hall.,People in my hall notice when I am not around.,I feel that my presence and participation matter to others in my community.,I feel comfortable expressing my identity in my residence hall.,My hall environment makes it easy to meet and connect with others.,What makes you feel a sense of belonging—or not belonging—in your hall community?,My RA is approachable and easy to contact.,"My RA keeps me informed about hall policies, resources, and events.",My RA supports my personal and academic success.,My RA responds to my needs in a timely manner.,My RA encourages community connection and belonging.,I feel comfortable seeking assistance from my RA when needed.,How often do you interact with your RA?,Professional staff are visible and accessible in my hall.,Professional staff respond effectively to student concerns.,Professional staff follow up after issues are reported.,Professional staff promote an inclusive and welcoming environment.,I have opportunities to share feedback with professional staff.,I believe my opinions are considered in hall-level decisions.,I feel empowered to make decisions that affect my residential experience.,Living on campus helps me reflect on my personal values and goals.,"When I disagree with staff or policies, I feel comfortable expressing my perspective.",My experiences in the hall have helped me become more independent and confident.,Living in on-campus housing has positively impacted my USF experience.,I would recommend living on campus to other students.,"If given the option, I would choose to live on campus again.","Because of my residential experience, I feel more connected to the broader USF community.",What has been the most positive aspect of your residence hall experience?,What would most improve your satisfaction or sense of belonging?,Please check any challenges you have experienced:,Any additional comments for Residence Life staff?
11/10/2025 15:10:53,,Lone Mountain North,Junior,1 semester,Yes,5,5,4,1,1,2,2,3,1,1,5,3,People visiting and saying hi,5,2,2,5,2,5,Weekly,2,1,2,2,1,1,1,5,1,3,5,2,4,3,Having my own space and meeting kind people. ,"I'm honestly not sure, more events? more incentive to go to events?","Maintenance delays, Lack of community, Staff unavailability, The internet is absolutely horrible and IT never is able to fix the problem",I feel like they are trying their best. 
11/10/2025 21:40:11,,Lone Mountain North,Sophomore,1 semester,Yes,5,5,5,5,5,5,4,4,3,5,5,3,,5,5,5,5,5,5,A few times per month,5,4,3,5,5,5,4,5,4,5,5,4,4,4,,,Noise,"I suggest offering dinner more regularly in LMN, extending the small store hours until at least 9 PM, and opening the cafeteria on weekends to better accommodate students’ needs!!"
2025-10-01 00:00:00,,Lone Mountain East,Junior,1 semester,Yes,4,4,4,4,4,4,5,5,3,2,3,1,"Overall, things have been okay.",3,4,3,5,5,3,Weekly,5,1,5,4,3,4,3,3,5,5,1,3,4,3,Meeting friends and feeling part of a community.,Better communication about policies and resources.,No significant challenges.,I feel more connected to USF because of my time in the hall.
2025-10-01 03:00:00,,Lone Mountain North,First-year,2 semesters,Yes,4,5,4,2,5,4,4,3,2,5,5,4,I don't have additional comments.,4,2,2,5,4,3,A few times per month,3,3,3,4,2,4,2,3,3,5,1,4,4,5,Meeting friends and feeling part of a community.,Faster response to maintenance requests.,"Other, Privacy concerns",Thank you for your support this year.
2025-10-01 06:00:00,,Loyola Village,Sophomore,3+ semesters,Yes,5,3,2,5,5,3,3,3,4,4,2,4,N/A,3,3,3,1,3,4,Rarely / never,3,5,4,5,4,5,2,4,5,3,4,4,5,3,Supportive RA and caring community.,Better communication about policies and resources.,"Lack of community, Roommate conflict","Sometimes communication feels unclear, but I know you care."
2025-10-01 09:00:00,,Lone Mountain East,Sophomore,2 semesters,Yes,4,4,4,5,5,5,4,5,3,4,4,4,N/A,5,5,3,3,3,3,Rarely / never,4,4,1,2,5,4,4,5,4,1,4,4,2,5,Quiet study spaces and respectful neighbors.,More inclusive community events at different times.,Staff unavailability,I appreciate the effort staff put into creating community.
2025-10-01 12:00:00,,Gillson,Senior,3+ semesters,No / Graduate housing / Not sure,1,5,4,4,5,4,2,4,5,3,4,2,I don't have additional comments.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,4,3,5,4,5,4,4,4,4,5,4,3,5,Convenient location and easy access to campus resources.,Faster response to maintenance requests.,Staff unavailability,"Overall a positive experience, with room for growth."
2025-10-01 15:00:00,,Loyola Village,Sophomore,2 semesters,Yes,1,4,4,4,3,4,5,1,1,4,5,3,N/A,3,5,5,5,2,4,Weekly,3,3,5,4,3,2,3,5,2,4,3,4,3,5,Convenient location and easy access to campus resources.,More consistent enforcement of quiet hours.,Privacy concerns,"Sometimes communication feels unclear, but I know you care."
2025-10-01 18:00:00,,Lone Mountain East,First-year,3+ semesters,Yes,4,4,2,4,4,5,4,2,2,5,3,4,I don't have additional comments.,5,4,3,4,4,4,Rarely / never,5,4,5,3,5,4,5,4,3,4,1,4,4,5,Quiet study spaces and respectful neighbors.,Improved cleanliness in shared bathrooms and kitchens.,No significant challenges.,"Overall a positive experience, with room for growth."
2025-10-01 21:00:00,,Lone Mountain East,Sophomore,1 semester,Yes,4,4,4,5,3,3,2,1,3,5,2,3,I don't have additional comments.,3,4,3,4,1,4,Rarely / never,2,2,5,3,3,4,5,2,3,4,3,4,5,4,Supportive RA and caring community.,More consistent enforcement of quiet hours.,No significant challenges.,I appreciate the effort staff put into creating community.
